"day_number","region","country","state","city","month","day","year","temp"
"1","Europe","Poland","","Warsaw",1,1,1995,35.4
"2","Europe","Poland","","Warsaw",1,2,1995,30.5
"3","Europe","Poland","","Warsaw",1,3,1995,27.2
"4","Europe","Poland","","Warsaw",1,4,1995,22.9
"5","Europe","Poland","","Warsaw",1,5,1995,18.7
"6","Europe","Poland","","Warsaw",1,6,1995,19.7
"7","Europe","Poland","","Warsaw",1,7,1995,21.6
"8","Europe","Poland","","Warsaw",1,8,1995,26.6
"9","Europe","Poland","","Warsaw",1,9,1995,27.4
"10","Europe","Poland","","Warsaw",1,10,1995,31
"11","Europe","Poland","","Warsaw",1,11,1995,30.9
"12","Europe","Poland","","Warsaw",1,12,1995,30.8
"13","Europe","Poland","","Warsaw",1,13,1995,28.5
"14","Europe","Poland","","Warsaw",1,14,1995,20.4
"15","Europe","Poland","","Warsaw",1,15,1995,27.6
"16","Europe","Poland","","Warsaw",1,16,1995,30.7
"17","Europe","Poland","","Warsaw",1,17,1995,23.7
"18","Europe","Poland","","Warsaw",1,18,1995,20
"19","Europe","Poland","","Warsaw",1,19,1995,16.8
"20","Europe","Poland","","Warsaw",1,20,1995,16
"21","Europe","Poland","","Warsaw",1,21,1995,20.3
"22","Europe","Poland","","Warsaw",1,22,1995,29.5
"23","Europe","Poland","","Warsaw",1,23,1995,38.8
"24","Europe","Poland","","Warsaw",1,24,1995,38.8
"25","Europe","Poland","","Warsaw",1,25,1995,37
"26","Europe","Poland","","Warsaw",1,26,1995,39.9
"27","Europe","Poland","","Warsaw",1,27,1995,37.8
"28","Europe","Poland","","Warsaw",1,28,1995,34.4
"29","Europe","Poland","","Warsaw",1,29,1995,42.4
"30","Europe","Poland","","Warsaw",1,30,1995,40.6
"31","Europe","Poland","","Warsaw",1,31,1995,29.5
"32","Europe","Poland","","Warsaw",2,1,1995,33.2
"33","Europe","Poland","","Warsaw",2,2,1995,40.6
"34","Europe","Poland","","Warsaw",2,3,1995,31.2
"35","Europe","Poland","","Warsaw",2,4,1995,35.1
"36","Europe","Poland","","Warsaw",2,5,1995,36.9
"37","Europe","Poland","","Warsaw",2,6,1995,39.1
"38","Europe","Poland","","Warsaw",2,7,1995,44.8
"39","Europe","Poland","","Warsaw",2,8,1995,33.8
"40","Europe","Poland","","Warsaw",2,9,1995,29.6
